motif_id	status	n_profiles	n_plots	error_hint
AC0553	OK	8	8	
AC0554	OK	8	8	
AC0555	OK	8	8	
AC0556	OK	8	8	
AC0557	OK	8	8	
AC0558	FAILED	4	0	slurmstepd: error: *** JOB 28948643 ON compute-a-17-61 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0559	FAILED	6	0	slurmstepd: error: *** JOB 28948644 ON compute-a-17-61 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0560	OK	8	8	
AC0561	FAILED	5	0	slurmstepd: error: *** JOB 28948646 ON compute-a-17-61 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0562	FAILED	4	0	slurmstepd: error: *** JOB 28948647 ON compute-a-17-61 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0563	FAILED	1	0	slurmstepd: error: *** JOB 28948648 ON compute-a-17-61 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0564	FAILED	5	0	slurmstepd: error: *** JOB 28948649 ON compute-a-17-61 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0565	FAILED	5	0	slurmstepd: error: *** JOB 28948650 ON compute-a-17-61 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0566	FAILED	5	0	slurmstepd: error: *** JOB 28948651 ON compute-a-17-61 CANCELLED AT 2026-02-13T11:50:33 DUE TO TIME LIMIT *** 
AC0567	OK	8	8	
AC0568	OK	8	8	
AC0569	OK	8	8	
AC0570	OK	8	8	
AC0571	FAILED	2	0	slurmstepd: error: *** JOB 28948673 ON compute-b-16-204 CANCELLED AT 2026-02-13T11:51:33 DUE TO TIME LIMIT *** 
AC0572	FAILED	5	0	slurmstepd: error: *** JOB 28948674 ON compute-b-16-204 CANCELLED AT 2026-02-13T11:51:33 DUE TO TIME LIMIT *** 
AC0573	OK	8	8	
AC0574	OK	8	8	
AC0575	OK	8	8	
AC0576	OK	8	8	
AC0577	OK	8	8	
AC0578	OK	8	8	
AC0579	FAILED	3	0	slurmstepd: error: *** JOB 28948681 ON compute-b-16-197 CANCELLED AT 2026-02-13T11:51:33 DUE TO TIME LIMIT *** 
AC0580	FAILED	3	0	slurmstepd: error: *** JOB 28948682 ON compute-b-16-196 CANCELLED AT 2026-02-13T11:51:33 DUE TO TIME LIMIT *** 
AC0581	OK	8	8	
AC0582	OK	8	8	
